# file...... time_results/meter_data_no1547_zip/current/m652.csv
# date...... Wed May  2 01:07:02 2018
# user...... ericlinxie
# host...... (null)
# target.... meter 61
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_current_A.real,measured_current_A.imag,measured_current_B.real,measured_current_B.imag,measured_current_C.real,measured_current_C.imag
2000-08-02 11:53:10 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:11 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:12 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:13 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:14 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:15 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:16 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:17 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:18 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:19 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:20 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:21 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:22 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:23 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:24 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:25 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:26 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:27 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:28 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:29 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:30 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:31 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:32 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:33 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:34 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:35 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:36 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:37 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:38 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:39 HDT,+57.7922,-29.5906,+0,+0,+0,+0
